province_territory,province_territoire,project_name,total_project_capacity_mw,turbine_identifier,turbine_number,turbine_number_in_project,turbine_rated_capacity_k_w,rotor_diameter_m,hub_height_m,manufacturer,model,commissioning,latitude,longitude,notes,data_sources,basemap
Alberta,Alberta,Ardenville Wind Farm,69,AWF1,1,1/23,3000,90,80,Vestas,V90-3.0,2010,49.5487803097965,-113.439305339008,NA,"[12], [14]",ESRI
Alberta,Alberta,Ardenville Wind Farm,69,AWF2,2,2/23,3000,90,80,Vestas,V90-3.0,2010,49.546239,-113.441041,NA,"[12], [14]",ESRI
Alberta,Alberta,Ardenville Wind Farm,69,AWF3,3,3/23,3000,90,80,Vestas,V90-3.0,2010,49.552287,-113.425995,NA,"[12], [14]",ESRI
Alberta,Alberta,Ardenville Wind Farm,69,AWF4,4,4/23,3000,90,80,Vestas,V90-3.0,2010,49.549909,-113.427444,NA,"[12], [14]",ESRI
Alberta,Alberta,Ardenville Wind Farm,69,AWF5,5,5/23,3000,90,80,Vestas,V90-3.0,2010,49.5475573201614,-113.429832426304,NA,"[12], [14]",ESRI
Alberta,Alberta,Ardenville Wind Farm,69,AWF6,6,6/23,3000,90,80,Vestas,V90-3.0,2010,49.5447930059817,-113.431561685956,NA,"[12], [14]",ESRI
Alberta,Alberta,Ardenville Wind Farm,69,AWF7,7,7/23,3000,90,80,Vestas,V90-3.0,2010,49.5424536490371,-113.433033460335,NA,"[12], [14]",ESRI
Alberta,Alberta,Ardenville Wind Farm,69,AWF8,8,8/23,3000,90,80,Vestas,V90-3.0,2010,49.5400081975066,-113.437891615303,NA,"[12], [14]",ESRI
Alberta,Alberta,Ardenville Wind Farm,69,AWF9,9,9/23,3000,90,80,Vestas,V90-3.0,2010,49.5374935874552,-113.439137600698,NA,"[12], [14]",ESRI
Alberta,Alberta,Ardenville Wind Farm,69,AWF10,10,10/23,3000,90,80,Vestas,V90-3.0,2010,49.5352416242982,-113.440429808878,NA,"[12], [14]",ESRI
Alberta,Alberta,Ardenville Wind Farm,69,AWF11,11,11/23,3000,90,80,Vestas,V90-3.0,2010,49.5330193654017,-113.436975806362,NA,"[12], [14]",ESRI
Alberta,Alberta,Ardenville Wind Farm,69,AWF12,12,12/23,3000,90,80,Vestas,V90-3.0,2010,49.5306507045775,-113.43848198407,NA,"[12], [14]",ESRI
Alberta,Alberta,Ardenville Wind Farm,69,AWF13,13,13/23,3000,90,80,Vestas,V90-3.0,2010,49.5320023683247,-113.413736956934,NA,"[12], [14]",ESRI
Alberta,Alberta,Ardenville Wind Farm,69,AWF14,14,14/23,3000,90,80,Vestas,V90-3.0,2010,49.5346492788023,-113.420209646962,NA,"[12], [14]",ESRI
Alberta,Alberta,Ardenville Wind Farm,69,AWF15,15,15/23,3000,90,80,Vestas,V90-3.0,2010,49.5662225293536,-113.421353314032,NA,"[12], [14]",ESRI
Alberta,Alberta,Ardenville Wind Farm,69,AWF16,16,16/23,3000,90,80,Vestas,V90-3.0,2010,49.5682798084993,-113.427522411982,NA,"[12], [14]",ESRI
Alberta,Alberta,Ardenville Wind Farm,69,AWF17,17,17/23,3000,90,80,Vestas,V90-3.0,2010,49.570494577831,-113.432642231065,NA,"[12], [14]",ESRI
Alberta,Alberta,Ardenville Wind Farm,69,AWF18,18,18/23,3000,90,80,Vestas,V90-3.0,2010,49.5715104932398,-113.446183614933,NA,"[12], [14]",ESRI
Alberta,Alberta,Ardenville Wind Farm,69,AWF19,19,19/23,3000,90,80,Vestas,V90-3.0,2010,49.5650119684824,-113.446056979296,NA,"[12], [14]",ESRI
Alberta,Alberta,Ardenville Wind Farm,69,AWF20,20,20/23,3000,90,80,Vestas,V90-3.0,2010,49.5627094381252,-113.446505376862,NA,"[12], [14]",ESRI
Alberta,Alberta,Ardenville Wind Farm,69,AWF21,21,21/23,3000,90,80,Vestas,V90-3.0,2010,49.5896999956816,-113.423923807144,NA,"[12], [14]",ESRI
Alberta,Alberta,Ardenville Wind Farm,69,AWF22,22,22/23,3000,90,80,Vestas,V90-3.0,2010,49.5882192592673,-113.418397658321,NA,"[12], [14]",ESRI
Alberta,Alberta,Ardenville Wind Farm,69,AWF23,23,23/23,3000,90,80,Vestas,V90-3.0,2010,49.5854762854986,-113.416381330712,NA,"[12], [14]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW1,1,1/166,1800,100,80,Vestas,V100-1.8,2014,50.2064336251675,-112.914188536673,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW2,2,2/166,1800,100,80,Vestas,V100-1.8,2014,50.2035005334187,-112.910193825153,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW3,3,3/166,1800,100,80,Vestas,V100-1.8,2014,50.2022125202591,-112.903729979528,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW4,4,4/166,1800,100,80,Vestas,V100-1.8,2014,50.2004900164826,-112.898631440637,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW5,5,5/166,1800,100,80,Vestas,V100-1.8,2014,50.1976464906625,-112.895952420881,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW6,6,6/166,1800,100,80,Vestas,V100-1.8,2014,50.1948244175864,-112.891852477545,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW7,7,7/166,1800,100,80,Vestas,V100-1.8,2014,50.1991791509895,-112.92588022382,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW8,8,8/166,1800,100,80,Vestas,V100-1.8,2014,50.1965055516467,-112.922763825071,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW9,9,9/166,1800,100,80,Vestas,V100-1.8,2014,50.19384305282,-112.920142357646,NA,"[44], [45], [46]",ESRI
